book,word,translation,image,sound1,sound2,sound3,unit,mean,example,type,mean_tr,example_tr
30,1,loud,shovqinli baland,loud.jpg,loud_1392933884419.mp3,loud_meaning.mp3,loud_example.mp3,2,"If a sound is loud, it is strong and very easy to hear.",The man’s voice was so loud that we all could hear him.,adj,"Agar tovush baland bo'lsa, u kuchli va eshitish juda oson.","Bu odamning ovozi shunchalik baland ediki, biz hammamiz uni eshitdik."
31,1,nervous,xavotirlangan,nervous.jpg,nervous_1392933884419.mp3,nervous_meaning.mp3,nervous_example.mp3,2,"When a person is nervous, they think something bad will happen.",The boy became nervous when he heard the news.,adj,"Inson asabiylashganda, biror yomon narsa yuz beradi deb o'ylaydi.",Bu xabarni eshitgan bola asabiylashdi.
32,1,noise,"shovqin, yoqimsiz ovoz",noise.jpg,noise_1392933884419.mp3,noise_meaning.mp3,noise_example.mp3,2,A noise is an unpleasant sound.,The crying baby made a loud noise.,n,Shovqin - bu yoqimsiz ovoz.,Yig'layotgan go'dak qattiq ovoz chiqardi.
33,1,project,yumush maxsus topshiriq,project.jpg,project_1392933884419.mp3,project_meaning.mp3,project_example.mp3,2,A project is a type of work that you do for school or a job.,His afternoon work project was to paint the room green.,n,Loyiha - bu maktab yoki ish uchun qiladigan ish turi.,Uning tushdan keyingi ish loyihasi xonani yashil rangga bo'yash edi.
34,1,scare,"qoʻrqitmoq, daxshatga solmoq",scare.jpg,scare_1392933884419.mp3,scare_meaning.mp3,scare_example.mp3,2,To scare someone is to make them feel afraid.,My uncle was scared by what he saw in the room.,v,Biror kishini qo'rqitish - uni qo'rqitish.,Amakim xonada ko‘rgan narsasidan qo‘rqib ketdi.
35,1,secret,sir,secret.jpg,secret_1392933884419.mp3,secret_meaning.mp3,secret_example.mp3,2,A secret is something that you do not tell other people.,The two boys were sharing a secret.,n,Sir - bu siz boshqalarga aytmaydigan narsadir.,Ikki yigit bir sirni baham ko'rishdi.
36,1,shout,baqirmoq,shout.jpg,shout_1392933884419.mp3,shout_meaning.mp3,shout_example.mp3,2,To shout is to say something loudly.,My boss shouted at me because I was late for work.,v,Baqirmoq - baland ovozda gapirmoq.,Ishga kech qolganim uchun xo‘jayinim menga baqirdi.
37,1,smell,hidlamoq,smell.jpg,smell_1392933884419.mp3,smell_meaning.mp3,smell_example.mp3,2,To smell something means to use your nose to sense it.,The two friends smelled the flower.,v,"Biror narsani hidlash, uni his qilish uchun burnidan foydalanishni anglatadi.",Ikki do‘st gulni hidladi.
38,1,terrible,juda yomon,terrible.jpg,terrible_1392933884419.mp3,terrible_meaning.mp3,terrible_example.mp3,2,"If something is terrible, it is very bad.",The way he treated his classmate was terrible.,adj,"Agar biror narsa dahshatli bo'lsa, bu juda yomon.",Uning sinfdoshiga munosabati dahshatli edi.
39,1,worse,yomonroq,worse.jpg,worse_1392933884419.mp3,worse_meaning.mp3,worse_example.mp3,2,"If something is worse, it is of poorer quality than another thing.",Business was worse this month than last month.,adj,"Agar biror narsa yomonroq bo'lsa, u boshqa narsaga qaraganda sifatsizroqdir.",Bu oyda biznes o'tgan oyga qaraganda yomonroq bo'ldi.
40,1,alien,oʻzga sayyoralik,alien.jpg,alien.mp3,alien_meaning.mp3,alien_example.mp3,3,An alien is a creature from a different world.,The alien came in peace.,n,O'zga sayyoralik - bu boshqa dunyodan kelgan mavjudot.,O'zga sayyoralik tinchlik bilan keldi.
41,1,among,orasida ichida,among.jpg,among_1392933884419.mp3,among_meaning.mp3,among_example.mp3,3,"If you are among certain things, they are all around you.",There was a red apple among the green ones.,prep,"Agar siz ba'zi narsalar orasida bo'lsangiz, ular sizning atrofingizda.",Yashillar orasida qizil olma ham bor edi.
42,1,chart,diagramma,chart.jpg,chart_1392933884419.mp3,chart_meaning.mp3,chart_example.mp3,3,A chart is a list of information.,We used a chart to see how we had improved.,n,Diagramma - bu ma'lumotlar ro'yxati.,Biz qanday yaxshilanganimizni ko'rish uchun jadvaldan foydalandik.
43,1,cloud,bulut,cloud.jpg,cloud_1392933884419.mp3,cloud_meaning.mp3,cloud_example.mp3,3,A cloud is a group of water drops in the sky.,The sky was filled with white clouds.,n,Bulut - osmondagi suv tomchilari guruhi.,Osmon oq bulutlarga to'lib ketdi.
44,1,comprehend,tushunmoq anglamoq,comprehend.jpg,comprehend.mp3,comprehend_meaning.mp3,comprehend_example.mp3,3,To comprehend something is to understand it.,Henry could not comprehend the message.,v,Biror narsani tushunish - uni tushunish.,Genri bu xabarni tushuna olmadi.
45,1,describe,tasvirlamoq,describe.jpg,describe_1392933884419.mp3,describe_meaning.mp3,describe_example.mp3,3,To describe is to say or write what someone or something is like.,They described their tree as colorful with gold ribbon and a star.,v,Ta'riflash - kimningdir yoki biror narsaning qanday ekanligini aytish yoki yozish.,Ular o'z daraxtini oltin lenta va yulduz bilan rang-barang deb ta'rifladilar.
46,1,ever,"qachon boʻlmasin, ilgari",ever.jpg,ever_1392933884419.mp3,ever_meaning.mp3,ever_example.mp3,3,Ever means at any time.,Going skiing last winter was the most fun I’ve ever had.,adv,Har doim istalgan vaqtda degani.,O'tgan qishda chang'i uchish men uchun eng qiziqarli bo'ldi.
47,1,fail,muvaffaqiyatsizlikka uchramoq,fail.jpg,fail.mp3,fail_meaning.mp3,fail_example.mp3,3,To fail means you do not succeed in what you try to do.,"Since he failed to get the job, he was sad.",v,"Muvaffaqiyatsiz bo'lish, siz qilmoqchi bo'lgan ishingizda muvaffaqiyat qozonmasligingizni anglatadi.",Ishga kira olmagani uchun u g'amgin edi.
48,1,friendly,"mehribon, doʻstona",friendly.jpg,friendly_1392933884419.mp3,friendly_meaning.mp3,friendly_example.mp3,3,"Friendly is behaving in a pleasant, kind way toward someone.",The friendly animals came up to the girl.,adj,"Do'stona - bu kimgadir yoqimli, yaxshi munosabatda bo'lish.",Do'stona hayvonlar qizning oldiga kelishdi.
49,1,grade,baho,grade.jpg,grade_1392933884419.mp3,grade_meaning.mp3,grade_example.mp3,3,A grade is a score or mark given to someone’s work.,I managed to get good grades on my report cards.,n,Baho - bu birovning ishiga berilgan ball yoki baho.,Hisobot kartochkalarimdan yaxshi baho olishga muvaffaq bo‘ldim.
50,1,instead,oʻrniga,instead.jpg,instead_1392933884419.mp3,instead_meaning.mp3,instead_example.mp3,3,Instead means in place of.,He ate the carrot instead of the ice cream.,adv,Buning o'rniga o'rnida degan ma'noni anglatadi.,Muzqaymoq o‘rniga sabzi yedi.
51,1,library,kutubxona,library.jpg,library_1392933884419.mp3,library_meaning.mp3,library_example.mp3,3,A library is a place where you go to read books.,The library at school is full of books.,n,Kutubxona - bu kitob o'qish uchun boradigan joy.,Maktab kutubxonasi kitoblar bilan to'la.
52,1,planet,sayyora,planet.jpg,planet_1392933884419.mp3,planet_meaning.mp3,planet_example.mp3,3,A planet is a large round thing in space.,Saturn is the planet with the ring around it.,n,Sayyora kosmosdagi katta dumaloq narsadir.,Saturn - bu uning atrofida halqasi bo'lgan sayyora.
53,1,report,hisobot,report.jpg,report_1392933884419.mp3,report_meaning.mp3,report_example.mp3,3,A report is something students write for school.,Karen had trouble writing her report.,n,Hisobot - bu o'quvchilar maktab uchun yozadigan narsadir.,Karen hisobot yozishda qiynaldi.
54,1,several,"bir talay, bir qancha",several.jpg,several_1392933884419.mp3,several_meaning.mp3,several_example.mp3,3,Several is more than two but not many.,He had to read several books for class.,adj,"Bir nechta ikkitadan ko'p, lekin ko'p emas.",U dars uchun bir nechta kitoblarni o'qishi kerak edi.
55,1,solve,"yechmoq, javob topmoq",solve.jpg,solve_1392933884419.mp3,solve_meaning.mp3,solve_example.mp3,3,To solve something is to find an answer to it.,All the students could easily solve the math problem.,v,Biror narsani hal qilish - unga javob topish.,Barcha talabalar matematika muammosini osongina echishlari mumkin edi.
56,1,suddenly,toʻsatdan,suddenly.jpg,suddenly_1392933884419.mp3,suddenly_meaning.mp3,suddenly_example.mp3,3,"If something happens suddenly, it happens quickly and unexpectedly.",I was suddenly surprised by the cake my friends brought me.,adv,"Agar biror narsa to'satdan sodir bo'lsa, u tez va kutilmaganda sodir bo'ladi.",Do'stlarim olib kelgan tort meni birdan hayratda qoldirdi.
57,1,suppose,"deb oʻylamoq, taxmin qilmoq",suppose.jpg,suppose_1392933884419.mp3,suppose_meaning.mp3,suppose_example.mp3,3,To suppose is to guess.,I suppose I should go home now.,v,Taxmin qilish - taxmin qilish.,"Menimcha, hozir uyga borishim kerak."
58,1,universe,koinot,universe.jpg,universe_1392933884419.mp3,universe_meaning.mp3,universe_example.mp3,3,The universe is the known or supposed objects in space.,The universe is so large that it cannot be measured.,n,Koinot kosmosdagi ma'lum yoki taxmin qilingan ob'ektlardir.,"Koinot shunchalik kattaki, uni o'lchash mumkin emas."
59,1,view,koʻrmoq qaramoq,view.jpg,view_1392933884419.mp3,view_meaning.mp3,view_example.mp3,3,To view is to look at something.,Michael likes to view himself in the mirror.,v,Ko'rish - biror narsaga qarash.,Maykl o'zini ko'zguda ko'rishni yaxshi ko'radi.
60,1,appropriate,mos toʻgʻri muofiq,appropriate.jpg,appropriate_1392933884419.mp3,appropriate_meaning.mp3,appropriate_example.mp3,4,"When a thing is appropriate, it is right or normal.",It’s appropriate to wear a suit when you go to the office.,adj,"Agar biror narsa mos bo'lsa, u to'g'ri yoki normaldir.",Ofisga borganingizda kostyum kiyish o'rinli.
61,1,avoid,yaqinlashmaslik,avoid.jpg,avoid_1392933884419.mp3,avoid_meaning.mp3,avoid_example.mp3,4,To avoid something is to stay away from it.,Avoid the broken bottle on the floor.,v,Biror narsadan qochish - undan uzoqlashish.,Erdagi singan shishadan saqlaning.
62,1,behave,"oʻzini tutmoq, odob saqlamoq",behave.jpg,behave_1392933884419.mp3,behave_meaning.mp3,behave_example.mp3,4,"To behave is to act in a particular way, especially to be good.",She always behaves well when her father is around.,v,"O'zini tutish - muayyan tarzda harakat qilish, ayniqsa yaxshi bo'lish.","Otasi yonida bo'lsa, u doimo o'zini yaxshi tutadi."
63,1,calm,xotirjam,calm.jpg,calm_1392933884419.mp3,calm_meaning.mp3,calm_example.mp3,4,"When someone is calm, they do not get excited or upset.",A nice warm bath makes me feel so calm.,adj,"Biror kishi xotirjam bo'lsa, u hayajonlanmaydi va xafa bo'lmaydi.",Chiroyli iliq vanna meni juda xotirjam his qiladi.
64,1,concern,"tashvish, gʻam",concern.jpg,concern_1392933884419.mp3,concern_meaning.mp3,concern_example.mp3,4,Concern is a feeling of worry.,I was filled with concern after reading the newspaper.,n,Xavotir - tashvish hissi.,Gazetani o'qib chiqqanimdan keyin tashvishga tushdim.
65,1,content,"xursand, shod",content.jpg,content_1392933884419.mp3,content_meaning.mp3,content_example.mp3,4,To be content is to be happy and not want more.,The baby looked very content sitting on the floor.,adj,Qoniqish - bu baxtli bo'lish va ko'proq narsani xohlamaslikdir.,Chaqaloq yerda o‘tirganidan juda mamnun ko‘rindi.
66,1,expect,"umid qilmoq, ishonmoq kutmoq",expect.jpg,expect_1392933884419.mp3,expect_meaning.mp3,expect_example.mp3,4,"If you expect something to happen, you believe it will happen.",I expect the bus to be here very soon.,v,"Agar biror narsa sodir bo'lishini kutsangiz, bu sodir bo'lishiga ishonasiz.",Tez orada avtobus shu yerda bo'lishini kutaman.
67,1,frequently,tez-tez,frequently.jpg,frequently_1392933884419.mp3,frequently_meaning.mp3,frequently_example.mp3,4,"When something happens frequently, it happens often.","We meet frequently, either at the beginning or ending of the week.",adv,"Biror narsa tez-tez sodir bo'lganda, u tez-tez sodir bo'ladi.",Biz haftaning boshida yoki oxirida tez-tez uchrashamiz.
68,1,habit,odat,habit.jpg,habit_1392933884419.mp3,habit_meaning.mp3,habit_example.mp3,4,A habit is a thing that you do often.,Smoking is a bad habit that can kill you.,n,Odat - bu siz tez-tez qiladigan narsadir.,Chekish sizni o'ldirishi mumkin bo'lgan yomon odatdir.
69,1,instruct,"ta'lim bermoq, koʻrsatma bermoq",instruct.jpg,instruct.mp3,instruct_meaning.mp3,instruct_example.mp3,4,To instruct is to teach.,My teacher instructs us in several subjects.,v,Ta'lim berish - o'rgatish.,Ustozim bizga bir nechta fanlardan dars beradi.
70,1,issue,"muammo, masala",issue.jpg,issue_1392933884419.mp3,issue_meaning.mp3,issue_example.mp3,4,An issue is an important topic.,The men spoke about issues that were important to the people.,n,Muammo muhim mavzu.,Erkaklar xalq uchun muhim bo'lgan masalalar haqida gapirdilar.
71,1,none,hech qancha,none.jpg,none_1392933884419.mp3,none_meaning.mp3,none_example.mp3,4,None means not any of someone or something.,He spent all his money. There is none left.,pron,Hech kim hech kimni yoki biror narsani anglatmaydi.,U bor pulini sarfladi. Hech kim qolmadi.
72,1,patient,"sabrli, toqatli",patient.jpg,patient_1392933884419.mp3,patient_meaning.mp3,patient_example.mp3,4,"If a person is patient, they don’t become angry or upset easily.",I had to be patient and wait until 5 o’clock to leave.,adj,"Agar biror kishi sabrli bo'lsa, u tezda g'azablanmaydi yoki xafa bo'lmaydi.",Men sabrli bo'lishim va ketish uchun soat 5 ga qadar kutishim kerak edi.
73,1,positive,ijobiy,positive.jpg,positive_1392933884419.mp3,positive_meaning.mp3,positive_example.mp3,4,"If something is positive, it is good.",She has a positive future ahead of her after finishing college.,adj,"Agar biror narsa ijobiy bo'lsa, bu yaxshi.",Kollejni tugatgandan keyin uni ijobiy kelajak kutmoqda.
74,1,punish,jazolamoq,punish.jpg,punish_1392933884419.mp3,punish_meaning.mp3,punish_example.mp3,4,To punish means to make someone suffer for breaking the rules or laws.,"To punish me, my teacher had me stand in the corner.",v,Jazolash - bu qoidalar yoki qonunlarni buzganlik uchun kimnidir azoblash demakdir.,Meni jazolash uchun o‘qituvchim meni burchakda turishga majbur qildi.
75,1,represent,"vakil boʻlmoq, vakillik qilmoq",represent.jpg,represent_1392933884419.mp3,represent_meaning.mp3,represent_example.mp3,4,To represent is to speak or act for a person or group.,My lawyer will represent me in court.,v,Vakillik - bu shaxs yoki guruh uchun gapirish yoki harakat qilish.,Advokatim sudda meni himoya qiladi.
76,1,shake,silkitmoq,shake.jpg,shake_1392933884419.mp3,shake_meaning.mp3,shake_example.mp3,4,To shake is to move back and forth or up and down quickly.,"When people shake hands, it usually means they agree.",v,Tebranish - tez oldinga va orqaga yoki yuqoriga va pastga harakat qilish.,"Odamlar qo'l silkitganda, bu odatda rozi bo'lishlarini anglatadi."
77,1,spread,"tarqalmoq, surtmoq",spread.jpg,spread_1392933884419.mp3,spread_meaning.mp3,spread_example.mp3,4,To spread is to move quickly to more places.,I like to spread butter on my toast.,v,Tarqalish - tezroq ko'proq joylarga ko'chib o'tishdir.,Men tostimga sariyog‘ surishni yaxshi ko‘raman.
78,1,stroll,sayr qilmoq,stroll.jpg,stroll.mp3,stroll_meaning.mp3,stroll_example.mp3,4,To stroll means to walk slowly and calmly.,My dog and I strolled through the park today.,v,Sayr qilish sekin va xotirjam yurishni anglatadi.,Bugun men itim bilan parkda sayr qildik.
79,1,village,qishloq,village.jpg,village.mp3,village_meaning.mp3,village_example.mp3,4,A village is a very small town.,There are only a few houses in my village.,n,Qishloq juda kichik shaharcha.,Qishlog‘imda bir nechta uy bor.
80,1,aware,xabardor ogoh,aware.jpg,aware_1392933884419.mp3,aware_meaning.mp3,aware_example.mp3,5,"If you are aware of something, you know about it.",I was not aware of the ringing phone.,adj,"Agar biror narsadan xabardor bo'lsangiz, bu haqda bilasiz.",Telefon jiringlaganidan bexabar edim.
81,1,badly,"yomon, jiddiy",badly.jpg,badly_1392933884419.mp3,badly_meaning.mp3,badly_example.mp3,5,Badly means in a severe or harmful way.,He hurt his arm badly playing with friends.,adv,Yomon og'ir yoki zararli ma'noni anglatadi.,"U do'stlari bilan o'ynab, qo'lini qattiq jarohatlagan."
82,1,belong,tegishli boʻlmoq,belong.jpg,belong_1392933884419.mp3,belong_meaning.mp3,belong_example.mp3,5,"If something belongs to you, you own it.",The blue suit belongs to Paul.,v,"Agar biror narsa sizga tegishli bo'lsa, siz unga egalik qilasiz.",Moviy kostyum Polga tegishli.
83,1,continue,davom etmoq,continue.jpg,continue.mp3,continue_meaning.mp3,continue_example.mp3,5,To continue something is to keep doing it.,She stood under her umbrella as the rain continued to fall.,v,Biror narsani davom ettirish - uni davom ettirish.,"Yomg'ir davom etar ekan, u soyabon ostida turdi."
84,1,error,xato,error.jpg,error_1392933884419.mp3,error_meaning.mp3,error_example.mp3,5,An error is something you do wrong.,"I made an error on my report, so my boss was angry.",n,Xato - bu siz noto'g'ri qilgan narsadir.,"Men hisobotimda xato qildim, shuning uchun xo'jayinim g'azablandi."
85,1,experience,tasurot kechinma,experience.jpg,experience_1392933884419.mp3,experience_meaning.mp3,experience_example.mp3,5,An experience is something you have seen or done.,Rock climbing was a fun experience.,n,Tajriba - bu siz ko'rgan yoki qilgan narsadir.,Qoyaga ko'tarilish qiziqarli tajriba edi.
86,1,field,"keng maydon, dala",field.jpg,field_1392933884419.mp3,field_meaning.mp3,field_example.mp3,5,A field is a big area of land.,The field of flowers looked so pretty.,n,Dala - bu katta er maydoni.,Gullar maydoni juda chiroyli ko'rinardi.
87,1,hurt,jarohatlamoq,hurt.jpg,hurt_1392933884419.mp3,hurt_meaning.mp3,hurt_example.mp3,5,To hurt is to do something that makes you feel pain.,She hurt her leg falling down the stairs.,v,Ozor berish - bu sizni og'riqli his qiladigan narsani qilishdir.,"U zinapoyadan yiqilib, oyog'ini shikastladi."
88,1,judgment,"qaror qabul qilish, fikr",judgment.jpg,judgment_1392933884419.mp3,judgment_meaning.mp3,judgment_example.mp3,5,Judgment is the ability to form opinions or decisions.,It's good judgment to recycle your aluminum cans.,n,Hukm - bu fikr yoki qaror qabul qilish qobiliyati.,Alyuminiy qutilaringizni qayta ishlash yaxshi qaror.
89,1,likely,"ehtimol, balki, mumkin",likely.jpg,likely_1392933884419.mp3,likely_meaning.mp3,likely_example.mp3,5,"If something likely happens, it will probably happen.",I will likely stay at home and watch TV tonight.,adv,"Agar biror narsa sodir bo'lsa, ehtimol bu sodir bo'ladi.","Men bugun kechqurun uyda qolib, televizor ko'raman."
