book,word,translation,image,sound1,sound2,sound3,image_text,unit
29,1,laugh,kulgi,laugh.jpg,laugh_1392933884419.mp3,laugh_meaning.mp3,laugh_example.mp3,"te
e laugh let ». :
Laugh is the sound made when someone is happy ona funny thing occ

— The sound of their laugh filled the room. RN

\

 
",2
30,1,loud,shovqinli baland,loud.jpg,loud_1392933884419.mp3,loud_meaning.mp3,loud_example.mp3,"=
C © loud baud! adj.
f If a sound is loud, it is strong and very easy to hear.

— The man’s voice was so loud that we all could hear him.
",2
31,1,nervous,xavotirlangan,nervous.jpg,nervous_1392933884419.mp3,nervous_meaning.mp3,nervous_example.mp3,"© nervous [nares] adj.
When a person is nervous, they think something bad will happen.
— The boy became nervous when he heard the news.

 
",2
32,1,noise,"shovqin, yoqimsiz ovoz",noise.jpg,noise_1392933884419.mp3,noise_meaning.mp3,noise_example.mp3,"met. «6 «NOISE Inoizl on.
©. A noise is an unpleasant sound.
Ca — The crying baby made a loud noise.

 
",2
33,1,project,yumush maxsus topshiriq,project.jpg,project_1392933884419.mp3,project_meaning.mp3,project_example.mp3,"e project [ predzekt] n.
A project is a type of work that you do for school or a job.
~ His afternoon work project was to paint the room green.

 
",2
34,1,scare,"qoʻrqitmoq, daxshatga solmoq",scare.jpg,scare_1392933884419.mp3,scare_meaning.mp3,scare_example.mp3,"@ S§Care Iskea:r] v.
To scare someone is to make them feel afraid.
— My uncle was scared by what he saw in the room.

 
",2
35,1,secret,sir,secret.jpg,secret_1392933884419.mp3,secret_meaning.mp3,secret_example.mp3,"~ secret ([si:krit) on.
A secret is something that you do not tell other people.
— The two boys were sharing a secret.

 
",2
36,1,shout,baqirmoq,shout.jpg,shout_1392933884419.mp3,shout_meaning.mp3,shout_example.mp3,"© shout faut v.
To shout is to say something loudly.
~ My boss shouted at me because | was late for work.

 
",2
37,1,smell,hidlamoq,smell.jpg,smell_1392933884419.mp3,smell_meaning.mp3,smell_example.mp3,"© smell [sme v.

‘ ; ° ; , To smell something means to use your nose to sense it.
; — The two friends smelled the flower.
Z
",2
38,1,terrible,juda yomon,terrible.jpg,terrible_1392933884419.mp3,terrible_meaning.mp3,terrible_example.mp3,"7 © terrible fersball gj.
If something is terrible, it is very bad.
— The way he treated his classmate was terrible.
",2
39,1,worse,yomonroq,worse.jpg,worse_1392933884419.mp3,worse_meaning.mp3,worse_example.mp3,"@ worse lwe:rs] adj. so
If something is worse, it is of poorer quality than another thins.

— Business was worse this month than last month. , &
UX

 
",2
40,1,alien,oʻzga sayyoralik,alien.jpg,alien.mp3,alien_meaning.mp3,alien_example.mp3,"© alien [eiljan) .
An alien is a creature from a different world.
— The alien came in peace.

 
",3
41,1,among,orasida ichida,among.jpg,among_1392933884419.mp3,among_meaning.mp3,among_example.mp3,"© among [emAn) prep.
If you are among certain things, they are all around you.
— There was a red apple among the green ones.

 
",3
42,1,chart,diagramma,chart.jpg,chart_1392933884419.mp3,chart_meaning.mp3,chart_example.mp3,"yah © chart yor o.
wl A chart is a list of information.
— We used a chart to see how we had improved.

 
",3
43,1,cloud,bulut,cloud.jpg,cloud_1392933884419.mp3,cloud_meaning.mp3,cloud_example.mp3,"© Cloud [kiaud »,

A cloud is a group of water drops in the sky.
— The sky was filled with white clouds.

 
",3
44,1,comprehend,tushunmoq anglamoq,comprehend.jpg,comprehend.mp3,comprehend_meaning.mp3,comprehend_example.mp3,"© comprehend Ikamprinend] v.

To comprehend something is to understand it.
~ Henry could not comprehend the message.

 
",3
45,1,describe,tasvirlamoq,describe.jpg,describe_1392933884419.mp3,describe_meaning.mp3,describe_example.mp3,"© describe (ciskrait] v.
To describe is to say or write what someone or something is like.
— They described their tree as colorful with gold ribbon and a star.

 
",3
46,1,ever,"qachon boʻlmasin, ilgari",ever.jpg,ever_1392933884419.mp3,ever_meaning.mp3,ever_example.mp3,"© eVer lever! adv.

Ever means at any time.
— Going skiing last winter was the most fun I’ve ever had.

 
",3
47,1,fail,muvaffaqiyatsizlikka uchramoq,fail.jpg,fail.mp3,fail_meaning.mp3,fail_example.mp3,"© fail teil v.
To fail means you do not succeed in what you try to do.
— Since he failed to get the job, he was sad.

 
",3
48,1,friendly,"mehribon, doʻstona",friendly.jpg,friendly_1392933884419.mp3,friendly_meaning.mp3,friendly_example.mp3,"i, © friendly ffrenail) ag.
» Friendly is behaving in a pleasant, kind way toward someone.
— The friendly animals came up to the girl. &

Dy

y

of
2

 
",3
49,1,grade,baho,grade.jpg,grade_1392933884419.mp3,grade_meaning.mp3,grade_example.mp3,"p 7
© grade igreidl n. Se
7+ A grade is a score or mark given to someone’s work. &

— | managed to get good grades on my report cargs?
YX 2

  
",3
50,1,instead,oʻrniga,instead.jpg,instead_1392933884419.mp3,instead_meaning.mp3,instead_example.mp3,"© instead [insted] cav.

Instead means in place of.
— He ate the carrot instead of the ice cream.

 
",3
51,1,library,kutubxona,library.jpg,library_1392933884419.mp3,library_meaning.mp3,library_example.mp3,"library [laibréri] n.
A library is a place where you go to read books.
— The library at school is full of books.

 
",3
52,1,planet,sayyora,planet.jpg,planet_1392933884419.mp3,planet_meaning.mp3,planet_example.mp3,"; Cc planet [pigenet] n.
I i A planet is a large round thing in space.

— Saturn is the planet with the ring around it.

 
",3
53,1,report,hisobot,report.jpg,report_1392933884419.mp3,report_meaning.mp3,report_example.mp3,"© report [rips n.
A report is something students write for school.
— Karen had trouble writing her report.

 
",3
54,1,several,"bir talay, bir qancha",several.jpg,several_1392933884419.mp3,several_meaning.mp3,several_example.mp3,"© several [several] adj.
Several is more than two but not many.
— He had to read several books for class.

 
",3
55,1,solve,"yechmoq, javob topmoq",solve.jpg,solve_1392933884419.mp3,solve_meaning.mp3,solve_example.mp3,"© solve [sail v.
To solve something is to find an answer to it.
— All the students could easily solve the math problem.

 
",3
56,1,suddenly,toʻsatdan,suddenly.jpg,suddenly_1392933884419.mp3,suddenly_meaning.mp3,suddenly_example.mp3,"| e suddenly [sAdnii] adv.
wu If something happens suddenly, it happens quickly and unexpectedly.
— | was suddenly surprised by the cake my friends brought me.
'
",3
57,1,suppose,"deb oʻylamoq, taxmin qilmoq",suppose.jpg,suppose_1392933884419.mp3,suppose_meaning.mp3,suppose_example.mp3,"© SUPPOSE [sepouz] v.
~ To suppose is to guess.
* — | suppose | should go home now.
",3
58,1,universe,koinot,universe.jpg,universe_1392933884419.mp3,universe_meaning.mp3,universe_example.mp3," 

© universe [ju:neverrs) n.
The universe is the known or supposed objects in space.
~— The universe is so large that it cannot be measured.
",3
59,1,view,koʻrmoq qaramoq,view.jpg,view_1392933884419.mp3,view_meaning.mp3,view_example.mp3," 

© VieW [yjul v.

To view is to look at something.
— Michael likes to view himself in the mirror.
",3
60,1,appropriate,mos toʻgʻri muofiq,appropriate.jpg,appropriate_1392933884419.mp3,appropriate_meaning.mp3,appropriate_example.mp3,"© appropriate [eproupriet aaj.
When a thing is appropriate, it is right or normal.
~ /t’s appropriate to wear a suit when you go to the office.

 
",4
61,1,avoid,yaqinlashmaslik,avoid.jpg,avoid_1392933884419.mp3,avoid_meaning.mp3,avoid_example.mp3,"© avoid [evsidl v
To avoid something is to stay away from it.
— Avoid the broken bottle on the floor.

 
",4
62,1,behave,"oʻzini tutmoq, odob saqlamoq",behave.jpg,behave_1392933884419.mp3,behave_meaning.mp3,behave_example.mp3,"© behave bbineiv v.
To behave is to act in a particular way, especially to be good.
— She always behaves well when her father is around.

 
",4
63,1,calm,xotirjam,calm.jpg,calm_1392933884419.mp3,calm_meaning.mp3,calm_example.mp3,"© calm [kar «
Lf When someone is calm, they do not get excited or upset.
~ Anice warm bath makes me feel so calm.
g
",4
64,1,concern,"tashvish, gʻam",concern.jpg,concern_1392933884419.mp3,concern_meaning.mp3,concern_example.mp3,"@ Concern [kensa:n] on.

Concern is a feeling of worry.
~ | was filled with concern after reading the newspaper.

 
",4
65,1,content,"xursand, shod",content.jpg,content_1392933884419.mp3,content_meaning.mp3,content_example.mp3,"© content fkentent) aqj.

To be content is to be happy and not want more.
— The baby looked very content sitting on the floor.

 
",4
66,1,expect,"umid qilmoq, ishonmoq kutmoq",expect.jpg,expect_1392933884419.mp3,expect_meaning.mp3,expect_example.mp3,"e expect likspékt] v.

IF you expect something to happen, you believe it will happen.
— | expect the bus to be here very soon.

 
",4
67,1,frequently,tez-tez,frequently.jpg,frequently_1392933884419.mp3,frequently_meaning.mp3,frequently_example.mp3,"dak) & frequently [fri:kwantli] adv.

eS When something happens frequently, it happens often.
~ We meet frequently, either at the beginning or ending of the week.

  
",4
68,1,habit,odat,habit.jpg,habit_1392933884419.mp3,habit_meaning.mp3,habit_example.mp3," 

© habit inepit o.

A habit is a thing that you do often.
— Smoking is a bad habit that can kill you.
",4
69,1,instruct,"ta'lim bermoq, koʻrsatma bermoq",instruct.jpg,instruct.mp3,instruct_meaning.mp3,instruct_example.mp3," 

© instruct [instrandt v.
To instruct is to teach.
— My teacher instructs us in several subjects.
",4
70,1,issue,"muammo, masala",issue.jpg,issue_1392933884419.mp3,issue_meaning.mp3,issue_example.mp3,"A © © issue {iu o.
An issue is an important topic.

¢ 3 — The men spoke about issues that were important to the people.
1

 
",4
71,1,none,hech qancha,none.jpg,none_1392933884419.mp3,none_meaning.mp3,none_example.mp3,"@™ NONE Inanl pron.
None means not any of someone or something.
-» He spent all his money. There is none left.

 
",4
72,1,patient,"sabrli, toqatli",patient.jpg,patient_1392933884419.mp3,patient_meaning.mp3,patient_example.mp3,"— | had to be patient and wait until 5 o’clock to leave.

ay © patient fpeijent) agi.
4 , If a person is patient, they don’t become angry or upset easily.
",4
73,1,positive,ijobiy,positive.jpg,positive_1392933884419.mp3,positive_meaning.mp3,positive_example.mp3,"e positive [pazativ] adj.
If something is positive, it is good.
~ She has a positive future ahead of her after finishing college.

 
",4
74,1,punish,jazolamoq,punish.jpg,punish_1392933884419.mp3,punish_meaning.mp3,punish_example.mp3,"© punish [pani v.
To punish means to make someone suffer for breaking the rules or laws.
— To punish me, my teacher had me stand in the corner.

 
",4
75,1,represent,"vakil boʻlmoq, vakillik qilmoq",represent.jpg,represent_1392933884419.mp3,represent_meaning.mp3,represent_example.mp3,"© represent [reprizentl v.
To represent is to speak or act for a person or group.
— My lawyer will represent me in court.

 
",4
76,1,shake,silkitmoq,shake.jpg,shake_1392933884419.mp3,shake_meaning.mp3,shake_example.mp3,"e shake {eit v.
tt To shake is to move back and forth or up and down quickly.

— When people shake hands, it usually means they agree.

 
",4
77,1,spread,"tarqalmoq, surtmoq",spread.jpg,spread_1392933884419.mp3,spread_meaning.mp3,spread_example.mp3,"© spread [spred! v.
To spread is to move quickly to more places.
~ | like to spread butter on my toast.

 
",4
78,1,stroll,sayr qilmoq,stroll.jpg,stroll.mp3,stroll_meaning.mp3,stroll_example.mp3," 

© stroll [stroull v.
To stroll means to walk slowly and calmly.
— My dog and | strolled through the park today.
",4
79,1,village,qishloq,village.jpg,village.mp3,village_meaning.mp3,village_example.mp3,"a
Aca

w.

© village n.

A village is a very small town.
— There are only a few houses in my village.
",4
80,1,aware,xabardor ogoh,aware.jpg,aware_1392933884419.mp3,aware_meaning.mp3,aware_example.mp3,"@ awake lewee] adj.
If you are aware of something, you know about it.

— | was not aware of the ringing phone.
,
",5
81,1,badly,"yomon, jiddiy",badly.jpg,badly_1392933884419.mp3,badly_meaning.mp3,badly_example.mp3,"oe badly [baedli] adv.

Badly means in a severe or harmful way.
— He hurt his arm badly playing with friends.

1

   
",5
82,1,belong,tegishli boʻlmoq,belong.jpg,belong_1392933884419.mp3,belong_meaning.mp3,belong_example.mp3,"© belong lbis(:)n) v.
If something belongs to you, you own it.
— The blue suit belongs to Paul.

 
",5
83,1,continue,davom etmoq,continue.jpg,continue.mp3,continue_meaning.mp3,continue_example.mp3,"© continue [kantinju:] v.

To continue something is to keep doing it.
— She stood under her umbrella as the rain continued fo fall.

 
",5
84,1,error,xato,error.jpg,error_1392933884419.mp3,error_meaning.mp3,error_example.mp3,"@ @fror [ere] on.

An error is something you do wrong.
— | made an error on my report, so my boss was angry.

 
",5
85,1,experience,tasurot kechinma,experience.jpg,experience_1392933884419.mp3,experience_meaning.mp3,experience_example.mp3,"© experience [ikspiarions) x.
An experience is something you have seen or done.
— Rock climbing was a fun experience.

 
",5
86,1,field,"keng maydon, dala",field.jpg,field_1392933884419.mp3,field_meaning.mp3,field_example.mp3,"© field ti:icl o.
A field is a big area of land.
~ The field of flowers looked so pretty.

 
",5
87,1,hurt,jarohatlamoq,hurt.jpg,hurt_1392933884419.mp3,hurt_meaning.mp3,hurt_example.mp3,"h @ hurt fhe: v.
N

To hurt is to do something that makes you feel pain.
— She hurt her leg falling down the stairs.

  
",5
88,1,judgment,"qaror qabul qilish, fikr",judgment.jpg,judgment_1392933884419.mp3,judgment_meaning.mp3,judgment_example.mp3," 

© judgm ent [dzadzment] on.
Judgment is the ability to form opinions or decisions.
— It’s good judgment to recycle your aluminum cans.
",5
89,1,likely,"ehtimol, balki, mumkin",likely.jpg,likely_1392933884419.mp3,likely_meaning.mp3,likely_example.mp3,"© likely tiaiki) adv. Q
If something likely happens, it will probably happen. S
— | will likely stay at home and watch TV tonight. 2X
*.

 
",5
90,1,normal,"odatiy, har doimgi",normal.jpg,normal_1392933884419.mp3,normal_meaning.mp3,normal_example.mp3,"© normal [ns:rmeil aaj.
If something is normal, it is not strange nor surprising to you.
— It is normal for me to bathe every night.
",5
91,1,rare,kamdan-kam noyob kamyob,rare.jpg,rare_1392933884419.mp3,rare_meaning.mp3,rare_example.mp3,"ea © fare [rear] adj.

a If something is rare, you do not See it very often.

— It is rare for him to miss his flight.

 
",5
92,1,relax,dam olmoq,relax.jpg,relax_1392933884419.mp3,relax_meaning.mp3,relax_example.mp3,"‘.
= oe relax [rila@eks] v.

wast To relax is to rest.
— The frog relaxed in the warm sun.

 
",5
93,1,request,soʻramoq,request.jpg,request_1392933884419.mp3,request_meaning.mp3,request_example.mp3,"© request [rikwesil v.
To request something is to ask for it.
— The little girl requested a special gift from Santa Claus.

 
",5
94,1,reside,muayyan yashamoq istiqomat qilamoq,reside.jpg,reside.mp3,reside_meaning.mp3,reside_example.mp3,"© reside [ri:zaial v.
To reside means to live somewhere permanently or for a long time.
— My brother and his family reside in a lovely house on the beach.

 
",5
95,1,result,natija,result.jpg,result_1392933884419.mp3,result_meaning.mp3,result_example.mp3,"e © result [rzaitl nv.

A result is something that happens because of something else.
— As a result of all the rain, the man had to climb on the roof.

 
",5
96,1,roll,"yumalatmoq, dumalatmoq",roll.jpg,roll_1392933884419.mp3,roll_meaning.mp3,roll_example.mp3,"To roll is to move by turning over and over.
— You must roll the ball into the pins when you bowl.

wihes © roll froull v.
“Oc
",5
97,1,since,-dan beri/buyon,since.jpg,since_1392933884419.mp3,since_meaning.mp3,since_example.mp3,"© SiNCe [sins] prep.
Since is used to talk about a past event still happening now.
— Since 1992, he has been driving that car.

 
",5
98,1,visible,"koʻzga koʻrinarli,  koʻrinib turgan",visible.jpg,visible_1392933884419.mp3,visible_meaning.mp3,visible_example.mp3," 

© visible [vizebel aaj.
If something is visible, it can be seen.
—~ The moon and stars were visible in the night sky.
",5
99,1,wild,yovvoyi,wild.jpg,wild_1392933884419.mp3,wild_meaning.mp3,wild_example.mp3,"se eo wild | [waild] adj. oh
= If something is wild, it is found in nature.

— You should be careful around a fox, because it is a ver animal.

 
",5
100,1,advantage,"ustun jihat, foyda",advantage.jpg,advantage_1392933884419.mp3,advantage_meaning.mp3,advantage_example.mp3,"© advantage ledventiag) n.
An advantage is something that helps you.
— Being tall is an advantage to a basketball player.
",6
101,1,cause,sabab boʻlmoq,cause.jpg,cause_1392933884419.mp3,cause_meaning.mp3,cause_example.mp3,"@ Cause [ko:z! v.
To cause is to make something happen.
— The cold weather caused her to get sick.

 
",6
102,1,choice,tanlash imkoniyati,choice.jpg,choice_1392933884419.mp3,choice_meaning.mp3,choice_example.mp3,"© choice ftpisi ».
A choice is the act or possibility of picking something.

— | had my choice of five doors to open.
",6
103,1,community,"jamiyat, jamoa",community.jpg,community_1392933884419.mp3,community_meaning.mp3,community_example.mp3,"Orn: oO community [kamju:natil on.
xe = A community is a group of people who live together.

— The kids from my community usually play together.
a
",6
104,1,dead,o'lgan,dead.jpg,dead_1392933884419.mp3,dead_meaning.mp3,dead_example.mp3,"© dead (cea! ag
To be dead is to not be alive.
~ A dead person is usually buried in the ground.

 
",6
105,1,distance,masofa,distance.jpg,distance_1392933884419.mp3,distance_meaning.mp3,distance_example.mp3,"© distance {aistens) 1

The distance between two things is how far it is between them.
— The distance between the Earth and the Moon is 384,400 kilometers.

 
",6
106,1,escape,qochib qutulmoq,escape.jpg,escape_1392933884419.mp3,escape_meaning.mp3,escape_example.mp3,"© eSCape liskeip] v.
To escape is to run away from something bad.
— The butterfly could not escape from the cage.

 
",6
107,1,face,"duch kelmoq, yuzlanmoq",face.jpg,face_1392933884419.mp3,face_meaning.mp3,face_example.mp3,"© face fteisl v.
If you face a problem, you deal with it.
— My sister and | have to find a better way to face our differences.
",6
108,1,follow,"ortidan bormoq, ergashmoq",follow.jpg,follow_1392933884419.mp3,follow_meaning.mp3,follow_example.mp3,"© follow faicu ».
To follow means to go behind someone and go where they go. es y
— The little boy followed his mother home.

 

fat
ok
",6
109,1,fright,"qoʻrquv, vahima",fright.jpg,fright.mp3,fright_meaning.mp3,fright_example.mp3," 

© fright trait o.
Fright is the feeling of being scared.
— She was filled with fright.
",6
110,1,ghost,"ruh, arvox",ghost.jpg,ghost.mp3,ghost_meaning.mp3,ghost_example.mp3,"© ghost (goust! ».
J A ghost is the spirit of a dead person.

L ~ Many people are afraid of ghosts.
J

 
",6
111,1,individual,"individ, kishi",individual.jpg,individual_1392933884419.mp3,individual_meaning.mp3,individual_example.mp3,"An individual is one person.
; — Only one individual could win the bicycle race.

\ © individual [indeviczuall n,

 
",6
112,1,pet,uy hayvoni,pet.jpg,pet_1392933884419.mp3,pet_meaning.mp3,pet_example.mp3,"@, © pet etn
& A pet is an animal that lives with people.
ss

~ Out of all my pets, the dog is my favorite.

 
",6
113,1,reach,"yetib kelmoq, yetib bormoq",reach.jpg,reach_1392933884419.mp3,reach_meaning.mp3,reach_example.mp3,"ae - reach [iii v:

fn To reach means to arrive at a place.
— | was happy to finally reach my destination.

 
 
",6
114,1,return,qaytib kelmoq,return.jpg,return_1392933884419.mp3,return_meaning.mp3,return_example.mp3,"o return [rito:;nl v.

To return is to go back to a place.
— / was happy to return home to my mom after school.

 
",6
115,1,survive,"tirik qolmoq, saqlab qolmoq",survive.jpg,survive_1392933884419.mp3,survive_meaning.mp3,survive_example.mp3,"© SUIViIVE [servaiv] v.
To survive is to ao alive.
~+ My dog survived her fall into the water.

 
",6
116,1,upset,xafa tushkun,upset.jpg,upset_1392933884419.mp3,upset_meaning.mp3,upset_example.mp3,"© upset Inpsetl aaj.
To be upset is to be unhappy about something.
— She was upset because she broke her toy.

 
",6
117,1,voice,"ovoz, tovush",voice.jpg,voice_1392933884419.mp3,voice_meaning.mp3,voice_example.mp3,"© VOICE [vis] 1.
A voice is the sound a person makes when they talk or sing.
— He used a microphone, so everyone could hear his voice.

 
",6
118,1,weather,ob-havo,weather.jpg,weather_1392933884419.mp3,weather_meaning.mp3,weather_example.mp3," 

|
“ere
»

™ weather lweser) n.

The weather is the condition of the air: hot, rainy, windy, etc.
-» The weather can be sunny, rainy, or cold.
",6
119,1,wise,"aqlli, dono",wise.jpg,wise.mp3,wise_meaning.mp3,wise_example.mp3,"e —
@ WIS@ [waiz] adj. oS

To be wise is to use experience and intelligence to makegdod choices.
— Many people believe that owls are very wise animags,
xi

 
",6
120,1,allow,ruxsat bermoq,allow.jpg,allow_1392933884419.mp3,allow_meaning.mp3,allow_example.mp3,"© allow [elaul v.
aE To allow something to happen means to let it happen.

— Having a ticket will allow you to enter the show.
1
",7
121,1,announce,elon qilmoq,announce.jpg,announce_1392933884419.mp3,announce_meaning.mp3,announce_example.mp3,"@ announce [snauns! v.

To announce something is to make it known.
— He announced fo everyone his new idea for the company.

 
",7
122,1,beside,yonma-yon,beside.jpg,beside_1392933884419.mp3,beside_meaning.mp3,beside_example.mp3,"© beside [bisaidl prep.
When someone or something is beside you, they are next to you.
~ The two brothers stood beside each other.

 
",7
123,1,challenge,"qiyinchilik, mushkul ish",challenge.jpg,challenge_1392933884419.mp3,challenge_meaning.mp3,challenge_example.mp3,"Ay © challenge tyiinas) ».
A challenge is something difficult to complete.
~ Itwas a challenge to climb to the top of the mountain.

 
",7
124,1,claim,"tasdiqlamoq, maʼqullamoq",claim.jpg,claim_1392933884419.mp3,claim_meaning.mp3,claim_example.mp3,"© Claim [kein v.

To claim means to say that something is true.
— He claimed to know why the country’s laws were weak.

 
",7
125,1,condition,ahvol holat,condition.jpg,condition_1392933884419.mp3,condition_meaning.mp3,condition_example.mp3,"© condition {kenaienl n.
The condition of someone or something is the state that they are in.
— The patient’s condition was very good.

 
",7
126,1,contribute,hissa qoʻshmoq,contribute.jpg,contribute_1392933884419.mp3,contribute_meaning.mp3,contribute_example.mp3,"© contribute [kentribju:t v.
J To contribute to something means to do something to make it successf

~ — We decided to contribute money to the new hospital.
a
",7
127,1,difference,farq,difference.jpg,difference_1392933884419.mp3,difference_meaning.mp3,difference_example.mp3,"F © difference (ciferons] ».
a? A difference is a way that something is not like other things.

— The biggest difference between the birds is the color of their feathers
i
",7
